Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Part des prestations sociales dans le rev. disp. 2021;Part des pers. âgées de 75 ans ou + 2020;Médiane du niveau de vie 2021;Part des revenus d'activité dans le rev. disp. 2021;Part des pensions, retraites et rentes dans le rev. disp. 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2020;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des revenus du patrimoine et autres dans le rev. disp. 2021
200000172;CC Faucigny-Glières;27764;2.8;6.4;26980;85.9;19.3;22.1;17.3;12;9.1;8.1;7.3
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;36232;4.8;8.2;22790;76.3;26.7;18.1;19.1;12.1;6.3;3.2;5.2
200000545;CC des Portes de Romilly-sur-Seine;18866;10.4;10.7;18730;60.7;35.7;32.7;14;7.1;4.7;3.5;5.1
200000628;CC Rhône Lez Provence;24003;7.3;10.4;20750;68.3;30.6;28.3;16.5;9.2;5.3;4.1;7.3
200000800;CC Cœur de Sologne;10310;4.3;13.3;22630;65.3;37.7;24.1;17.5;9.6;6.4;5.9;7.2
200000925;CC de la Plaine Dijonnaise;22093;3.7;6.4;24930;79.1;26.6;17.8;18.9;13.8;8;5.6;5.4
200000933;CC Sauldre et Sologne;14421;5.1;14.3;21780;59.4;39.6;28.2;15.2;8.5;5.2;4.1;9.4
200004802;CC du Pays de Fayence;29060;3.7;11.2;24370;69.5;32;17.5;19.7;12;9.8;9;12.1
200005932;CC des Portes de Sologne;15544;3.1;9.3;25770;73.6;31;15.3;17.9;14.3;10.4;11.1;9.8
200005957;CC de la Région de Rambervillers;12878;7.3;10.3;20840;66.5;31.4;31;16;9.3;5.1;2.7;7.6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;50456;3.5;11.3;24320;71.4;28.5;22.6;16.7;11.5;8.1;7.2;14.6
200006716;CC du Nogentais;16511;5.9;9.9;22110;72.7;28.8;28.7;14.8;9.1;5.6;5;7.9
200006930;CC du Haut Allier;5173;5.5;14.4;20970;58.9;39.2;24.3;17.8;9.9;6.7;5.1;9
200006971;CC du Perche;17975;5.7;14.6;21910;60.1;40;30.7;14.9;7.9;6.1;5.2;8.1
200007052;CC de la Marche Berrichonne;5532;4.7;18.6;19470;51.4;46.6;30.7;15;7.4;5;3.3;9.2
200007177;CC Pays de Nérondes;4711;7.1;12.9;20640;60.3;38.4;26.1;17.9;10;4.9;3.6;6.6
200010650;CA du Grand Dole;54718;5.8;11.7;22610;67.9;33.5;21.7;17.4;11.1;8.6;6;7.7
200010700;CA Caux Seine Agglo;78036;5.9;8.4;22550;74.2;28.7;24.7;17.8;10.4;5.5;4.1;5.4
200011773;CA Annemasse-Les Voirons-Agglomération;93417;3;6.5;27700;85;20.2;20.8;18.7;10.8;9.9;10.6;6.5
200011781;CC Portes du Berry entre Loire et Val d'Aubois;9466;5.8;11.2;21550;65;36.3;23;18.5;10;5;3.4;5.7
200013050;CC Sauer-Pechelbronn;17355;2.7;9.7;25250;75.1;30.7;19.9;17.6;11;6.7;4.6;6.7
200015162;CC de l'Oriente;6073;7.7;13.3;19620;61.6;36.8;27.7;17.3;8.1;8.2;8.8;9.3
200016905;CC du Pays de Lamastre;6683;6.5;13.9;19550;56.6;39.7;26.9;16.1;9.2;6.5;5.4;8.7
200017341;CC Lodévois et Larzac;14783;9.3;12;19480;61.4;33.9;22.4;18.4;9.9;10;7.2;7.6
200017846;CA Étampois Sud Essonne;55662;5.4;7;23480;78.9;24.4;21.6;19;12;8.6;7.2;7.3
200018083;CC de Desvres-Samer;23221;6.2;7.9;21430;72.9;25.9;23.8;19.7;11.7;7.4;4.3;8.4
200018166;CC Le Grésivaudan;102588;2.6;8.5;28050;80.3;25.9;13.3;15.6;14.3;12.4;20.3;10.5
200018406;CC du Romorantinais et du Monestois;33662;6.3;12.3;21540;62;38.7;30.1;14.9;8.5;5.3;3.8;6.4
200018521;CC du Val de Bouzanne;5973;5.1;12;21290;63.2;36.7;24.5;17.9;9.2;5.5;3.5;7.6
200018653;CA Cap Excellence;97513;N/A - résultat non disponible;7.9;N/A - résultat non disponible;N/A - résultat non disponible;N/A - résultat non disponible;30.7;20.1;10;7.8;6.7;N/A - résultat non disponible
200022986;CC du Grand Pic Saint-Loup;50876;2.9;8.9;27950;76.6;28.7;10.2;17.5;14.6;15.1;20.7;12
200023075;CC du Pays de Maîche;18713;2.4;8.6;28770;90.7;20.4;25.1;18.2;10.4;5.5;3.4;5.3
200023125;CC Les Portes Briardes entre Villes et Forêts;45945;3.4;6.8;27270;81.6;25.6;18.6;19.3;13.5;10.7;9.7;9
200023240;CC Pays de Nemours;29718;5.8;9.7;22970;71.8;30.1;25.3;18;10.2;7.5;6.2;8
200023299;CC Cœur de Tarentaise;9085;4.2;9;22240;73.1;26.1;20.4;18.8;11.4;8.5;6;12.9
200023307;CA du Grand Villeneuvois;47507;7.4;13.9;20340;59.9;37;26.2;17.6;9.5;7.1;5;9.2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;13486;2.2;8.7;24270;75.2;23.8;13.3;20.1;11.5;14.6;12.4;17.7
200023414;Métropole Rouen Normandie;497225;7.3;9;22070;73.1;29.2;22.8;16.5;10.9;9.5;10.8;6.4
200023620;CC de la Gascogne Toulousaine;22637;3.9;6.8;26160;85;20.4;13.9;18.6;15.5;11.5;14.4;8.1
200023737;CA du Grand Cahors;42202;5.9;12.6;22440;61;39.1;19.2;19.5;11.6;9.7;8.5;8.7
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;52407;3;15.8;23440;54.1;47.8;22.2;17.3;9.6;6.4;4.1;9.6
200023794;CC de Blaye;20303;6.3;10.3;21580;69.6;31.1;22;17.6;9.7;6.9;5.4;6.7
200023919;CC Gâtinais Val de Loing;18422;5.6;10.4;22820;73.2;28.8;25.1;17.8;10;6.9;5.1;7.7
200026573;CC Haut-Jura Saint-Claude;19626;5;12;22570;69.5;33.4;28.2;15.8;11.1;7.1;4.8;6.6
200027027;CC Arc Sud Bretagne;28730;3.8;11.4;23230;60.1;41;19;19.4;11.8;7.7;5;9
200027076;CC Arnon Boischaut Cher;7934;5.3;14;21880;63.3;38.1;26.3;16.1;9;6;3.2;6.1
200027100;CC Méditerranée Porte des Maures;46303;3.9;14.7;24050;58.7;40.7;20;19.4;11.4;8.3;6.5;13.5
200027183;CU Perpignan Méditerranée Métropole;272976;9;12;20260;60.8;34.6;22.6;18.8;10;9.2;7.8;10.2
200027217;CC Sarlat-Périgord Noir;16155;5.2;13;21710;57;40.7;23.4;17.4;10.1;8.6;6.3;11.6
